#         t          x          y          z         vx         vy         vz
      0.000     98.560    119.990    127.760     28.430   -173.920    -93.230
      0.010     98.839    118.244    126.820     27.301   -175.283    -94.689
      0.020     99.106    116.484    125.866     26.143   -176.656    -96.171
      0.030     99.361    114.711    124.897     24.955   -178.040    -97.676
      0.040     99.605    112.923    123.912     23.735   -179.435    -99.204
      0.050     99.836    111.122    122.913     22.484   -180.841   -100.756
      0.060    100.054    109.307    121.897     21.199   -182.258   -102.334
      0.070    100.260    107.477    120.866     19.879   -183.686   -103.937
      0.080    100.452    105.633    119.818     18.523   -185.126   -105.567
      0.090    100.630    103.774    118.754     17.129   -186.578   -107.224
      0.100    100.794    101.901    117.674     15.697   -188.040   -108.910
      0.110    100.944    100.013    116.576     14.223   -189.515   -110.625
      0.120    101.078     98.111    115.461     12.707   -191.002   -112.370
      0.130    101.198     96.193    114.329     11.148   -192.500   -114.146
      0.140    101.301     94.261    113.178      9.542   -194.010   -115.955
      0.150    101.388     92.313    112.009      7.888   -195.533   -117.797
      0.160    101.459     90.350    110.822      6.184   -197.067   -119.673
      0.170    101.512     88.372    109.616      4.427   -198.614   -121.585
      0.180    101.547     86.378    108.390      2.616   -200.172   -123.535
      0.190    101.564     84.368    107.145      0.748   -201.743   -125.522
      0.200    101.562     82.343    105.879     -1.180   -203.325   -127.549
      0.210    101.540     80.302    104.594     -3.170   -204.919   -129.618
      0.220    101.498     78.244    103.287     -5.226   -206.525   -131.729
      0.230    101.435     76.171    101.959     -7.352   -208.142   -133.884
      0.240    101.350     74.081    100.609     -9.549   -209.770   -136.085
      0.250    101.244     71.976     99.237    -11.822   -211.409   -138.333
      0.260    101.114     69.853     97.842    -14.175   -213.058   -140.632
      0.270    100.960     67.714     96.424    -16.612   -214.717   -142.981
      0.280    100.781     65.559     94.982    -19.138   -216.385   -145.384
      0.290    100.576     63.387     93.516    -21.756   -218.062   -147.843
      0.300    100.345     61.198     92.025    -24.473   -219.747   -150.359
      0.310    100.086     58.992     90.508    -27.294   -221.438   -152.935
      0.320     99.799     56.769     88.966    -30.224   -223.135   -155.574
      0.330     99.481     54.529     87.397    -33.270   -224.837   -158.279
      0.340     99.133     52.272     85.800    -36.439   -226.541   -161.051
      0.350     98.752     49.998     84.175    -39.738   -228.246   -163.894
      0.360     98.337     47.707     82.522    -43.176   -229.950   -166.811
      0.370     97.888     45.399     80.839    -46.760   -231.651   -169.805
      0.380     97.401     43.074     79.125    -50.501   -233.345   -172.880
      0.390     96.877     40.732     77.381    -54.407   -235.030   -176.038
      0.400     96.312     38.374     75.604    -58.491   -236.703   -179.283
      0.410     95.706     35.998     73.795    -62.764   -238.358   -182.620
      0.420     95.056     33.607     71.951    -67.239   -239.990   -186.052
      0.430     94.360     31.199     70.073    -71.930   -241.595   -189.583
      0.440     93.616     28.775     68.159    -76.853   -243.166   -193.217
      0.450     92.822     26.335     66.208    -82.024   -244.695   -196.960
      0.460     91.974     23.881     64.219    -87.462   -246.172   -200.814
      0.470     91.071     21.412     62.191    -93.188   -247.589   -204.785
      0.480     90.109     18.930     60.123    -99.222   -248.933   -208.877
      0.490     89.085     16.434     58.013   -105.590   -250.189   -213.095
      0.500     87.996     13.926     55.860   -112.318   -251.343   -217.442
      0.510     86.837     11.408     53.664   -119.435   -252.374   -221.923
      0.520     85.605      8.880     51.421   -126.974   -253.261   -226.540
      0.530     84.295      6.344     49.132   -134.969   -253.978   -231.298
      0.540     82.903      3.801     46.795   -143.460   -254.493   -236.197
      0.550     81.423      1.255     44.407   -152.489   -254.771   -241.238
      0.560     79.850     -1.293     41.969   -162.102   -254.768   -246.420
      0.570     78.178     -3.839     39.478   -172.351   -254.435   -251.737
      0.580     76.400     -6.380     36.934   -183.290   -253.712   -257.183
      0.590     74.508     -8.911     34.334   -194.979   -252.528   -262.746
      0.600     72.496    -11.427     31.678   -207.482   -250.798   -268.407
      0.610     70.354    -13.924     28.966   -220.867   -248.423   -274.140
      0.620     68.074    -16.392     26.195   -235.202   -245.283   -279.909
      0.630     65.645    -18.825     23.367   -250.558   -241.239   -285.664
      0.640     63.057    -21.211     20.482   -267.002   -236.124   -291.337
      0.650     60.299    -23.541     17.542   -284.593   -229.742   -296.839
      0.660     57.360    -25.799     14.547   -303.376   -221.865   -302.050
      0.670     54.226    -27.969     11.503   -323.370   -212.231   -306.818
      0.680     50.886    -30.033      8.414   -344.552   -200.543   -310.944
      0.690     47.329    -31.968      5.288   -366.842   -186.471   -314.182
      0.700     43.545    -33.749      2.136   -390.074   -169.671   -316.222
      0.710     39.525    -35.346     -1.028   -413.963   -149.801   -316.622
      0.720     35.264    -36.728     -4.185   -438.049   -126.589   -314.770
      0.730     30.766    -37.861     -7.311   -461.717    -99.852   -310.449
      0.740     26.036    -38.708    -10.379   -484.187    -69.564   -303.233
      0.750     21.093    -39.235    -13.359   -504.522    -35.932   -292.757
      0.760     15.961    -39.412    -16.217   -521.703      0.533   -278.797
      0.770     10.679    -39.214    -18.918   -534.737     39.002   -261.353
      0.780      5.291    -38.628    -21.428   -542.812     78.361   -240.696
      0.790     -0.150    -37.649    -23.718   -545.439    117.325   -217.377
      0.800     -5.590    -36.289    -25.766   -542.545    154.609   -192.175
      0.810    -10.975    -34.571    -27.557   -534.483    189.095   -165.984
      0.820    -16.257    -32.526    -29.085   -521.953    219.968   -139.697
      0.830    -21.396    -30.192    -30.354   -505.863    246.768   -114.087
      0.840    -26.361    -27.611    -31.374   -487.186    269.375    -89.754
      0.850    -31.131    -24.825    -32.158   -466.839    287.932    -67.094
      0.860    -35.694    -21.871    -32.725   -445.611    302.766    -46.325
      0.870    -40.042    -18.786    -33.094   -424.133    314.295    -27.517
      0.880    -44.177    -15.600    -33.285   -402.878    322.973    -10.636
      0.890    -48.103    -12.338    -33.316   -382.178    329.240      4.419
      0.900    -51.825     -9.025    -33.205   -362.251    333.501     17.788
      0.910    -55.352     -5.677    -32.968   -343.228    336.110     29.626
      0.920    -58.694     -2.309    -32.619   -325.175    337.374     40.091
      0.930    -61.861      1.065    -32.172   -308.112    337.550     49.337
      0.940    -64.861      4.437    -31.638   -292.030    336.852     57.503
      0.950    -67.706      7.799    -31.027   -276.897    335.455     64.718
      0.960    -70.404     11.144    -30.348   -262.671    333.504     71.097
      0.970    -72.964     14.467    -29.609   -249.300    331.115     76.739
      0.980    -75.394     17.764    -28.816   -236.734    328.385     81.735
      0.990    -77.702     21.033    -27.977   -224.917    325.391     86.161
      1.000    -79.896     24.271    -27.095   -213.799    322.195     90.085
      1.010    -81.981     27.476    -26.177   -203.329    318.848     93.567
      1.020    -83.965     30.647    -25.226   -193.460    315.391     96.658
      1.030    -85.853     33.784    -24.246   -184.147    311.858     99.401
      1.040    -87.651     36.884    -23.240   -175.351    308.275    101.838
      1.050    -89.363     39.949    -22.210   -167.032    304.664    104.000
      1.060    -90.994     42.978    -21.161   -159.155    301.042    105.919
      1.070    -92.548     45.970    -20.093   -151.690    297.424    107.620
      1.080    -94.029     48.926    -19.009   -144.605    293.821    109.127
      1.090    -95.442     51.846    -17.911   -137.874    290.241    110.459
      1.100    -96.789     54.731    -16.801   -131.473    286.692    111.634
      1.110    -98.073     57.580    -15.679   -125.378    283.179    112.668
      1.120    -99.298     60.395    -14.548   -119.569    279.707    113.574
      1.130   -100.466     63.175    -13.409   -114.027    276.279    114.366
      1.140   -101.579     65.921    -12.261   -108.733    272.896    115.053
      1.150   -102.641     68.633    -11.108   -103.672    269.562    115.647
      1.160   -103.654     71.312     -9.949    -98.830    266.277    116.155
      1.170   -104.619     73.959     -8.785    -94.191    263.042    116.585
      1.180   -105.539     76.573     -7.618    -89.745    259.857    116.944
      1.190   -106.415     79.156     -6.447    -85.479    256.722    117.239
      1.200   -107.249     81.708     -5.273    -81.382    253.638    117.474
      1.210   -108.043     84.229     -4.097    -77.445    250.603    117.656
      1.220   -108.799     86.720     -2.920    -73.659    247.618    117.789
      1.230   -109.517     89.182     -1.742    -70.014    244.682    117.875
      1.240   -110.200     91.614     -0.563    -66.503    241.793    117.919
      1.250   -110.848     94.018      0.616    -63.120    238.952    117.918
      1.260   -111.463     96.393      1.795    -59.856    236.156    117.876
      1.270   -112.046     98.741      2.974    -56.707    233.407    117.801
      1.280   -112.597    101.062      4.151    -53.665    230.701    117.697
      1.290   -113.119    103.355      5.327    -50.726    228.040    117.566
      1.300   -113.612    105.623      6.502    -47.884    225.421    117.411
      1.310   -114.077    107.864      7.676    -45.135    222.843    117.233
      1.320   -114.516    110.080      8.847    -42.474    220.306    117.034
      1.330   -114.927    112.270     10.016    -39.897    217.808    116.815
      1.340   -115.314    114.436     11.183    -37.399    215.348    116.579
      1.350   -115.676    116.578     12.348    -34.977    212.927    116.326
      1.360   -116.014    118.695     13.510    -32.629    210.542    116.058
      1.370   -116.329    120.789     14.669    -30.349    208.192    115.776
      1.380   -116.621    122.859     15.825    -28.136    205.877    115.481
      1.390   -116.892    124.906     16.978    -25.986    203.596    115.174
      1.400   -117.141    126.931     18.128    -23.897    201.348    114.855
      1.410   -117.370    128.933     19.275    -21.866    199.132    114.526
      1.420   -117.579    130.914     20.419    -19.890    196.947    114.188
      1.430   -117.768    132.873     21.559    -17.968    194.793    113.840
      1.440   -117.938    134.810     22.696    -16.098    192.668    113.484
      1.450   -118.090    136.726     23.829    -14.276    190.573    113.121
      1.460   -118.224    138.621     24.958    -12.501    188.505    112.750
      1.470   -118.340    140.496     26.084    -10.772    186.465    112.373
      1.480   -118.440    142.351     27.205     -9.087    184.452    111.989
      1.490   -118.522    144.185     28.323     -7.443    182.464    111.600
      1.500   -118.589    146.000     29.437     -5.840    180.502    111.206
      1.510   -118.639    147.796     30.547     -4.276    178.565    110.806
      1.520   -118.675    149.572     31.654     -2.750    176.652    110.402
      1.530   -118.695    151.329     32.755     -1.259    174.763    109.994
      1.540   -118.700    153.067     33.853      0.197    172.896    109.582
      1.550   -118.691    154.787     34.947      1.619    171.052    109.167
      1.560   -118.668    156.488     36.037      3.008    169.230    108.748
      1.570   -118.631    158.172     37.122      4.366    167.429    108.326
      1.580   -118.580    159.837     38.203      5.694    165.649    107.901
      1.590   -118.517    161.485     39.280      6.993    163.889    107.473
      1.600   -118.441    163.115     40.353      8.263    162.149    107.044
      1.610   -118.352    164.728     41.421      9.506    160.428    106.611
      1.620   -118.251    166.323     42.485     10.722    158.727    106.177
      1.630   -118.138    167.902     43.544     11.912    157.043    105.741
      1.640   -118.013    169.464     44.600     13.078    155.378    105.303
      1.650   -117.876    171.010     45.651     14.220    153.730    104.863
