#         t          x          y          z         vx         vy         vz
      0.000     98.560    119.990    127.760     28.430   -173.920    -93.230
      0.050     99.833    111.121    122.911     22.494   -180.835   -100.747
      0.100    100.788    101.900    117.670     15.719   -188.029   -108.891
      0.150    101.380     92.311    112.003      7.926   -195.515   -117.765
      0.200    101.550     82.341    105.872     -1.120   -203.301   -127.502
      0.250    101.228     71.974     99.227    -11.734   -211.378   -138.266
      0.300    100.326     61.196     92.014    -24.344   -219.710   -150.266
      0.350     98.729     49.999     84.163    -39.552   -228.204   -163.768
      0.400     96.285     38.377     75.591    -58.217   -236.663   -179.111
      0.450     92.789     26.343     66.195    -81.613   -244.672   -196.723
      0.500     87.957     13.942     55.849   -111.682   -251.374   -217.118
      0.550     81.378      1.284     44.401   -151.464   -254.951   -240.798
      0.600     72.447    -11.374     31.685   -205.758   -251.389   -267.847
      0.650     60.263    -23.446     17.581   -281.627   -231.483   -296.326
      0.700     43.588    -33.595      2.255   -385.385   -174.492   -316.706
      0.750     21.456    -39.120    -13.079   -499.871    -46.502   -296.670
      0.800     -4.568    -36.812    -25.526   -541.093    138.840   -201.188
      0.850    -29.863    -26.627    -32.589   -470.691    268.558    -81.349
      0.900    -50.948    -12.028    -34.605   -372.724    315.418      0.728
      0.950    -67.555      3.883    -33.395   -291.553    320.997     47.669
      1.000    -80.604     19.690    -30.348   -230.409    311.269     74.202
      1.050    -90.973     34.887    -26.254   -184.334    296.613     89.552
      1.100    -99.301     49.324    -21.551   -148.816    280.894     98.582
      1.150   -106.040     62.985    -16.489   -120.725    265.530    103.864
      1.200   -111.507     75.898    -11.222    -97.979    251.009    106.822
      1.250   -115.936     88.110     -5.845    -79.180    237.453    108.281
      1.300   -119.500     99.667     -0.419    -63.369    224.842    108.739
      1.350   -122.331    110.616      5.010    -49.875    213.108    108.452
      1.400   -124.533    120.998     10.414    -38.212    202.166    107.696
      1.450   -126.189    130.850     15.772    -28.021    191.929    106.608
      1.500   -127.365    140.206     21.069    -19.030    182.318    105.282
      1.550   -128.117    149.096     26.296    -11.034    173.263    103.781
      1.600   -128.490    157.545     31.444     -3.869    164.701    102.153
      1.650   -128.522    165.577     36.509      2.591    156.579    100.430
      1.700   -128.246    173.213     41.485      8.450    148.850     98.637
      1.750   -127.690    180.471     46.371     13.788    141.472     96.793
      1.800   -126.878    187.368     51.164     18.675    134.410     94.909
      1.850   -125.832    193.919     55.861     23.167    127.634     92.997
      1.900   -124.570    200.138     60.463     27.310    121.114     91.063
      1.950   -123.109    206.036     64.967     31.143    114.827     89.112
      2.000   -121.463    211.626     69.374     34.701    108.752     87.150
      2.050   -119.645    216.916     73.682     38.010    102.869     85.178
      2.100   -117.667    221.917     77.891     41.097     97.162     83.199
      2.150   -115.540    226.636     82.002     43.981     91.614     81.215
      2.200   -113.274    231.082     86.013     46.682     86.212     79.225
      2.250   -110.876    235.261     89.924     49.214     80.943     77.231
      2.300   -108.356    239.179     93.736     51.592     75.797     75.232
      2.350   -105.721    242.843     97.447     53.829     70.762     73.229
      2.400   -102.976    246.258    101.058     55.933     65.829     71.222
      2.450   -100.130    249.429    104.569     57.916     60.989     69.208
      2.500    -97.188    252.359    107.979     59.786     56.235     67.189
      2.550    -94.154    255.054    111.288     61.549     51.559     65.163
      2.600    -91.035    257.517    114.495     63.213     46.953     63.129
      2.650    -87.835    259.751    117.601     64.784     42.412     61.087
      2.700    -84.559    261.760    120.604     66.265     37.929     59.034
      2.750    -81.211    263.545    123.504     67.664     33.499     56.970
      2.800    -77.795    265.111    126.300     68.982     29.115     54.894
      2.850    -74.315    266.458    128.993     70.224     24.774     52.804
      2.900    -70.774    267.589    131.580     71.394     20.469     50.700
      2.950    -67.177    268.506    134.062     72.493     16.197     48.578
      3.000    -63.527    269.209    136.438     73.525     11.952     46.438
      3.050    -59.826    269.701    138.706     74.491      7.730     44.278
      3.100    -56.079    269.983    140.865     75.394      3.527     42.097
      3.150    -52.288    270.054    142.915     76.234     -0.660     39.892
      3.200    -48.457    269.917    144.854     77.014     -4.838     37.661
      3.250    -44.588    269.571    146.680     77.733     -9.009     35.403
      3.300    -40.685    269.016    148.393     78.393    -13.177     33.114
      3.350    -36.751    268.253    149.991     78.994    -17.347     30.794
      3.400    -32.787    267.281    151.472     79.536    -21.522     28.439
      3.450    -28.798    266.101    152.834     80.019    -25.707     26.047
      3.500    -24.787    264.710    154.075     80.443    -29.906     23.615
      3.550    -20.756    263.109    155.194     80.807    -34.124     21.139
      3.600    -16.708    261.297    156.188     81.110    -38.363     18.617
      3.650    -12.646    259.273    157.055     81.351    -42.629     16.046
      3.700     -8.574    257.034    157.791     81.527    -46.926     13.420
      3.750     -4.495    254.579    158.395     81.638    -51.260     10.737
      3.800     -0.412    251.907    158.863     81.680    -55.635      7.992
      3.850      3.671    249.014    159.193     81.652    -60.056      5.180
      3.900      7.751    245.900    159.380     81.548    -64.528      2.296
      3.950     11.824    242.560    159.420     81.367    -69.058     -0.666
      4.000     15.886    238.992    159.311     81.102    -73.652     -3.712
      4.050     19.932    235.193    159.047     80.750    -78.316     -6.849
      4.100     23.958    231.159    158.624     80.304    -83.057    -10.084
      4.150     27.960    226.885    158.036     79.757    -87.883    -13.427
      4.200     31.931    222.368    157.278     79.101    -92.802    -16.885
      4.250     35.867    217.603    156.344     78.327    -97.823    -20.470
      4.300     39.761    212.583    155.228     77.425   -102.955    -24.194
      4.350     43.606    207.304    153.921     76.382   -108.208    -28.069
      4.400     47.395    201.759    152.416     75.184   -113.595    -32.111
      4.450     51.120    195.941    150.705     73.813   -119.127    -36.335
      4.500     54.772    189.842    148.778     72.251   -124.819    -40.762
      4.550     58.340    183.455    146.624     70.474   -130.685    -45.413
      4.600     61.813    176.769    144.230     68.453   -136.744    -50.314
      4.650     65.178    169.775    141.585     66.156   -143.013    -55.495
      4.700     68.421    162.462    138.673     63.542   -149.513    -60.989
      4.750     71.523    154.817    135.477     60.562   -156.268    -66.838
      4.800     74.466    146.828    131.979     57.157   -163.304    -73.090
      4.850     77.226    138.479    128.157     53.251   -170.649    -79.802
      4.900     79.777    129.755    123.986     48.752   -178.336    -87.043
      4.950     82.084    120.636    119.437     43.540   -186.399    -94.900
      5.000     84.109    111.104    114.478     37.462   -194.875   -103.475
      5.050     85.803    101.137    109.068     30.316   -203.801   -112.901
      5.100     87.107     90.712    103.162     21.833   -213.213   -123.339
      5.150     87.944     79.803     96.704     11.648   -223.134   -135.000
      5.200     88.216     68.386     89.625     -0.752   -233.565   -148.155
      5.250     87.795     56.436     81.842    -16.101   -244.450   -163.156
      5.300     86.505     43.934     73.252    -35.484   -255.612   -180.464
      5.350     84.104     30.878     63.723    -60.558   -266.607   -200.675
      5.400     80.242     17.303     53.094    -93.940   -276.393   -224.513
      5.450     74.397      3.331     41.164   -139.869   -282.522   -252.670
      5.500     65.771    -10.710     27.722   -205.164   -279.085   -285.012
      5.550     53.162    -23.978     12.662   -299.200   -251.658   -317.376
      5.600     35.083    -34.494     -3.549   -423.968   -168.985   -331.054
      5.650     11.273    -38.814    -18.811   -528.415     -3.809   -279.453
      5.700    -14.934    -34.718    -29.914   -519.877    167.669   -164.659
      5.750    -38.881    -24.097    -35.634   -437.983    257.170    -64.150
      5.800    -58.692    -10.498    -37.271   -354.476    286.778     -1.311
      5.850    -74.748      3.923    -36.408   -287.745    290.066     35.804
      5.900    -87.852     18.251    -34.058   -236.413    283.065     58.224
      5.950    -98.674     32.135    -30.796   -196.493    272.282     72.224
      6.000   -107.706     45.451    -26.961   -164.763    260.353     81.191
      6.050   -115.299     58.169    -22.756   -138.972    248.369     87.007
      6.100   -121.713     70.298    -18.312   -117.579    236.774     90.766
      6.150   -127.140     81.860    -13.714    -99.521    225.732     93.132
      6.200   -131.730     92.886     -9.023    -84.045    215.285     94.526
      6.250   -135.596    103.403     -4.279    -70.610    205.421     95.224
      6.300   -138.832    113.441      0.487    -58.815    196.101     95.409
      6.350   -141.511    123.026      5.251    -48.362    187.283     95.174
      6.400   -143.696    132.181      9.997    -39.018    178.922     94.656
      6.450   -145.436    140.929     14.711    -30.605    170.975     93.920
      6.500   -146.776    149.288     19.385    -22.978    163.401     93.015
      6.550   -147.751    157.277     24.010    -16.025    156.163     91.977
      6.600   -148.393    164.912     28.580     -9.653    149.230     90.833
      6.650   -148.729    172.207     33.091     -3.785    142.573     89.603
      6.700   -148.782    179.175     37.538      1.641    136.164     88.305
      6.750   -148.574    185.829     41.920      6.677    129.983     86.949
      6.800   -148.123    192.179     46.232     11.368    124.007     85.546
      6.850   -147.445    198.234     50.473     15.750    118.218     84.104
      6.900   -146.555    204.005     54.642     19.856    112.600     82.628
      6.950   -145.466    209.498     58.735     23.714    107.138     81.123
      7.000   -144.189    214.722     62.753     27.346    101.818     79.592
      7.050   -142.736    219.683     66.694     30.773     96.629     78.039
      7.100   -141.117    224.388     70.557     34.014     91.559     76.465
      7.150   -139.339    228.842     74.340     37.085     86.597     74.872
      7.200   -137.412    233.050     78.043     39.998     81.735     73.262
      7.250   -135.343    237.018     81.666     42.766     76.964     71.636
      7.300   -133.139    240.749     85.207     45.400     72.276     69.993
      7.350   -130.806    244.247     88.665     47.910     67.664     68.334
      7.400   -128.351    247.517     92.040     50.305     63.121     66.659
      7.450   -125.778    250.561     95.330     52.591     58.641     64.968
      7.500   -123.094    253.382     98.536     54.775     54.216     63.261
      7.550   -120.303    255.984    101.656     56.865     49.843     61.537
      7.600   -117.410    258.368    104.689     58.865     45.516     59.796
      7.650   -114.419    260.536    107.635     60.781     41.228     58.038
      7.700   -111.334    262.492    110.493     62.616     36.977     56.260
      7.750   -108.159    264.235    113.261     64.374     32.756     54.462
      7.800   -104.898    265.768    115.938     66.060     28.562     52.644
      7.850   -101.555    267.092    118.524     67.677     24.391     50.804
      7.900    -98.132    268.207    121.018     69.226     20.237     48.941
      7.950    -94.634    269.116    123.418     70.711     16.097     47.053
      8.000    -91.063    269.817    125.723     72.135     11.967     45.139
      8.050    -87.422    270.313    127.931     73.497      7.842     43.198
      8.100    -83.714    270.602    130.042     74.802      3.720     41.227
      8.150    -79.943    270.685    132.053     76.049     -0.405     39.226
      8.200    -76.111    270.561    133.964     77.240     -4.535     37.191
      8.250    -72.221    270.231    135.771     78.375     -8.676     35.122
      8.300    -68.275    269.693    137.475     79.457    -12.831     33.015
      8.350    -64.276    268.947    139.072     80.483    -17.004     30.868
      8.400    -60.228    267.992    140.561     81.456    -21.199     28.679
      8.450    -56.132    266.827    141.939     82.375    -25.421     26.444
      8.500    -51.992    265.449    143.204     83.239    -29.674     24.161
      8.550    -47.809    263.858    144.353     84.047    -33.963     21.826
      8.600    -43.588    262.052    145.385     84.800    -38.292     19.436
      8.650    -39.331    260.028    146.296     85.495    -42.667     16.987
      8.700    -35.040    257.784    147.082     86.130    -47.094     14.475
      8.750    -30.719    255.317    147.741     86.705    -51.576     11.894
      8.800    -26.371    252.625    148.270     87.216    -56.121      9.240
      8.850    -21.999    249.703    148.663     87.660    -60.735      6.508
      8.900    -17.607    246.549    148.918     88.034    -65.425      3.690
      8.950    -13.198    243.159    149.030     88.335    -70.197      0.781
      9.000     -8.776    239.527    148.994     88.556    -75.060     -2.227
