#         t          m          x          y          z         vx         vy         vz
    400.000      0.008     -3.958     17.459    -10.881     66.507      2.803     85.042
    400.000      0.008     -0.327     -0.584     -0.099   -229.442   -112.593   -180.708
    400.000      0.008     -0.264      4.422     -2.503    213.878    147.002    -69.711
    400.000      0.008      0.489     -0.871      0.964   -380.221     64.685     64.308
    400.000      0.008     -5.753    -18.005      6.115   -132.892     61.693    -18.992
    400.000      0.008     -1.167      0.340     -0.853     46.957    188.749    -55.832
    400.000      0.008     14.010    -11.559     -1.108   -167.348      8.001     46.718
    400.000      0.008      2.836    -14.627      8.476    -72.832    -19.523    -50.801
    400.000      0.008     -0.575      0.478      1.157   -203.469    -81.074     -2.206
    400.000      0.008      2.742      0.952     -0.490     36.984    -71.537     85.055
    400.000      0.008      0.640      0.402      0.388    380.662    -15.662    -59.619
    400.000      0.008    -14.407     -9.312      2.808     -8.450    101.247    -65.164
    400.000      0.008      3.738      0.705      0.491    -28.363   -231.314     29.383
    400.000      0.008     -1.188      0.897      1.357    199.997    196.425    -92.808
    400.000      0.008    -18.123     -7.312     -4.583    -14.670    110.122    -91.754
    400.000      0.008      0.837      1.650      0.838    -23.365     17.570    -11.171
    400.000      0.008     -8.581     -3.729      0.827     42.100    171.286    -85.954
    400.000      0.008      0.831      1.098      0.037    205.747    327.505   -129.817
    400.000      0.008     -0.624      0.372     -0.383   -256.117    191.975     -7.915
    400.000      0.008     -0.579     11.006     -1.999    199.701    -20.405     15.544
    400.000      0.008     -6.576      7.145     -4.471    161.567    117.543    -40.063
    400.000      0.008      0.454      6.364     -2.160    212.866     69.771    -23.407
    400.000      0.008     -7.094     -2.615      1.735   -158.846    195.791   -117.091
    400.000      0.008     -0.171      0.009      0.554   -443.584    -98.212     53.950
    400.000      0.008     -1.261     -1.083      0.898   -112.036   -129.946   -115.490
    400.000      0.008     -1.396      0.488      0.281    344.264     62.040   -120.981
    400.000      0.008      0.228     -0.418      0.360   -143.857     62.545     99.597
    400.000      0.008    -15.671      1.990    -12.212     41.268    131.786    -79.376
    400.000      0.008      5.361      2.951     -0.457     56.095    -67.756     27.559
    400.000      0.008      3.062     -9.086      4.741   -182.925     20.194     24.794
    400.000      0.008      2.308      1.686      0.392      2.198    -34.689    -68.879
    400.000      0.008     -0.328      2.871      0.163    -73.133    186.155    -63.677
    400.000      0.008     -7.261    -14.453      4.295   -164.231     59.424      6.105
    400.000      0.008     -3.315     -0.615     -0.386    -29.218    174.945    -25.840
    400.000      0.008      0.327     -4.201      2.299   -228.724      0.520   -110.956
    400.000      0.008      8.312      5.410     -1.693     68.468    -35.330     87.018
    400.000      0.008     -3.394      3.308     -2.461    168.314    152.963    -18.243
    400.000      0.008     -0.505      2.706     -0.032    273.956    -40.206    -23.325
    400.000      0.008      1.192     -2.060      2.732   -104.636   -100.335     53.365
    400.000      0.008      0.508      0.291      0.169      9.512    228.299     83.897
    400.000      0.008      1.126     23.222     -1.930    124.870    -41.618     43.427
    400.000      0.008      2.860     -0.157      0.573     32.238    -93.654    -23.309
    400.000      0.008    -15.780    -28.069     -5.799   -128.633     -4.531   -124.103
    400.000      0.008      1.846     -3.054      2.255   -242.359    -49.045     -6.589
    400.000      0.008     -2.231      6.265      2.764    -15.649     81.697    -84.191
    400.000      0.008     -0.472     -1.842      2.672   -225.877      7.202     31.265
    400.000      0.008      0.658      1.099      0.359    336.093   -166.853   -142.800
    400.000      0.008      0.834     14.163     -9.098    134.498      1.025     23.773
    400.000      0.008     20.057    -11.765      9.884   -104.002    -56.519      3.717
    400.000      0.008     -2.214     -4.836      6.555   -258.162    -21.996   -210.718
    400.000      0.008      0.809      0.144      0.705    -19.199    -87.849     19.070
    400.000      0.008      5.899    -19.772      9.852    -96.311    -91.795     -5.338
    400.000      0.008     -0.507      5.227     -1.940    209.742     56.979    -10.364
    400.000      0.008    -14.924     -1.362     -2.613     41.734    165.149    -81.514
    400.000      0.008     -1.812      8.806     -5.099    114.350    -27.139     73.707
    400.000      0.008      6.496     -4.762      4.304    -85.037    -78.722     18.166
    400.000      0.008     -0.341     -0.377      0.608    127.116   -160.107    -24.129
    400.000      0.008      0.170     -0.730      1.499    -15.776   -112.848    -20.615
    400.000      0.008    -14.634    -25.650      0.474   -167.690     23.819   -104.761
