#         t          m          x          y          z         vx         vy         vz
    400.000      0.008    -27.284    -54.619    -28.621    121.305   -122.330    -12.425
    400.000      0.008     55.845     16.124     43.181      6.658    -10.108     87.836
    400.000      0.008    -28.869    -42.725    -26.119     70.911   -102.749    -67.237
    400.000      0.008    -25.073    -45.167    -22.852     32.452   -189.468   -101.230
    400.000      0.008    -12.176    -55.097    -17.073   -250.332    -39.880   -130.467
    400.000      0.008    -35.586      6.635    -45.584     43.830     88.225    -85.407
    400.000      0.008    -57.825    -72.836     -7.490   -112.386    260.917    163.484
    400.000      0.008      7.428     -4.148     61.068     20.335     -0.949     29.070
    400.000      0.008     35.383     55.159     25.421     76.779    115.344     45.230
    400.000      0.008    -12.018    -54.502     -8.252   -188.034    -48.507   -170.691
    400.000      0.008     -9.016    -55.987    -17.873   -224.929    -58.586    -91.775
    400.000      0.008     30.854     17.521     80.427     93.538     13.122    115.785
    400.000      0.008    -71.726    -69.550     -6.149    118.393    346.887     72.757
    400.000      0.008    -21.415    -30.687    -71.010     38.762    256.708     70.683
    400.000      0.008    -21.863    -58.304    -27.192    183.891    -70.278    -11.800
    400.000      0.008    -19.238    -53.154     -9.923   -126.060     -4.133   -188.407
    400.000      0.008     45.270      7.830     36.224    -29.098    -30.522     56.664
    400.000      0.008    -28.394    -50.948    -24.577    124.272    -80.311   -156.531
    400.000      0.008     43.063     27.125     92.136     70.627     19.119    248.805
    400.000      0.008     27.397     50.912     17.766     17.704    -30.468    108.446
    400.000      0.008    -29.379    -49.244    -23.463     98.381    -89.971   -147.073
    400.000      0.008    -43.974      4.724    -37.599      4.579     85.156    -89.353
    400.000      0.008    -32.010    -42.237    -22.606     70.419    -67.548   -123.664
    400.000      0.008    -32.426    -37.848    -27.217     70.034    -63.719    -59.629
    400.000      0.008    -17.112    -56.855     11.352    -40.352    -30.087   -139.353
    400.000      0.008    152.629    190.884     90.441     99.678     87.912    101.867
    400.000      0.008     49.721      3.583     29.151    -38.337    -35.940     57.936
    400.000      0.008     45.968    -14.443     40.289    -49.157    -19.785     60.690
    400.000      0.008    -29.845    -50.490    -28.908    121.227   -103.527    -37.215
    400.000      0.008    -75.693    -79.840    -11.932    -34.574    286.341    110.406
    400.000      0.008    -20.457    -70.479    -26.389     76.369    -89.227    104.406
    400.000      0.008    -29.541    -45.933    -22.603     30.151   -109.405   -152.164
    400.000      0.008    -28.747    -42.400    -30.436     58.577   -108.294    -54.426
    400.000      0.008    -28.736    -50.863    -23.603    150.850    -80.752   -131.010
    400.000      0.008    -13.040    -44.243    -61.825     76.367    253.483    -27.264
    400.000      0.008     49.418     15.521     52.617   -148.686    -65.210      1.366
    400.000      0.008    -44.824    -63.427     24.826     79.914    345.461     27.820
    400.000      0.008    -21.809    -63.437    -28.527    100.582    -96.206     51.301
    400.000      0.008    -19.572    -47.986    -22.908   -179.163   -313.966     50.880
    400.000      0.000     -6.045     -1.789     56.501     17.824     18.070     19.317
    400.000      0.000    -15.162     32.086     49.421     35.708     38.130    -26.652
    400.000      0.000     91.596     63.222     65.651    -43.632    -32.357     50.319
    400.000      0.000    -54.056    -90.866      4.821     73.779    359.551     47.095
    400.000      0.000    -22.159    -54.239    -26.092     41.481   -178.368     48.002
    400.000      0.000     49.827     13.045     25.889    -39.542    -33.669     75.589
    400.000      0.000     28.988      6.129     70.818     69.758     29.502     43.068
    400.000      0.000    -28.232    -45.998    -20.812     73.136   -107.142   -153.554
    400.000      0.000    -25.135    -53.766    -27.838     53.142   -156.868     80.641
    400.000      0.000    -29.426    -64.725      8.368     60.695    444.816    -57.528
    400.000      0.000      0.363     -7.957     59.082      7.940    -19.344     60.135
    400.000      0.000    -36.965    -83.890     24.697     29.317    356.670     28.508
    400.000      0.000    -10.227     54.783    -10.732      0.982     86.776    -34.317
    400.000      0.000    -11.345    -56.627    -13.071   -208.756    -22.205   -154.760
    400.000      0.000    -30.968    -45.636    -26.587     75.493   -113.785    -40.097
    400.000      0.000    -39.180     -8.645    -39.968     16.411     38.703   -159.330
    400.000      0.000    -26.359    -53.465    -11.745    160.507    545.249   -155.080
    400.000      0.000    -24.611    -56.110    -27.614    173.051    -37.289   -136.407
    400.000      0.000     -7.977     63.790     15.471    -19.976    134.446    -23.044
    400.000      0.000    -28.506    -47.542    -30.071     53.738   -136.771    -19.048
    400.000      0.000     14.376      0.087     60.728     35.246     21.672      7.250
    400.000      0.000     22.402      0.183     69.860     57.441     18.563     38.120
    400.000      0.000    -29.562    -46.694    -30.995    116.908   -111.088     31.426
    400.000      0.000     37.513     21.608     71.162    108.994     14.300     75.120
    400.000      0.000    -78.770    -77.023    -23.228    -21.664    284.181     98.659
    400.000      0.000     -9.433    -41.002    -38.753    234.995    318.073   -125.767
